subjID,playerColor,compColor,exptPart,trialNumber,playerRole,liarPlayer,marblesSampled,probabilityRed,drawnRed,drawnBlue,reportedDrawn,reportedRed,reportedBlue,callBS,redTrialScore,blueTrialScore,redTotalScore,blueTotalScore,responseTime,trialTime,currStartTime,currEndTime,catchQuestion,catchResponse,catchKey
visitor-c74ch,blue,red,trial,1,liar,blue,6,0.5,4,2,2,4,2,FALSE,4,2,0,0,10769,28336,1621883443588,1621883471924,-1,-1,-1
visitor-c74ch,blue,red,trial,2,liar,blue,6,0.5,0,0,2,4,2,FALSE,0,0,0,0,17407,17410,1621883472969,1621883490379,red,"['TRUE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'TRUE']","['red', 'blue', 'red', 'red', 'blue', 'blue', 'red']"
visitor-c74ch,blue,red,trial,3,liar,blue,6,0.5,5,1,1,5,1,FALSE,5,1,0,0,10151,27772,1621883491422,1621883519194,-1,-1,-1
visitor-c74ch,blue,red,trial,4,liar,blue,6,0.5,1,5,5,1,5,FALSE,1,5,0,0,6141,23563,1621883520242,1621883543805,-1,-1,-1
visitor-c74ch,blue,red,trial,5,liar,blue,6,0.5,1,5,5,1,5,TRUE,-2,5,0,0,7159,23681,1621883544848,1621883568529,-1,-1,-1
visitor-c74ch,blue,red,trial,6,liar,blue,6,0.5,0,6,6,0,6,FALSE,0,6,0,0,28617,45905,1621883569581,1621883615486,-1,-1,-1
visitor-c74ch,blue,red,trial,7,liar,blue,6,0.5,0,6,6,0,6,TRUE,-3,6,8,19,5703,29132,1621883619002,1621883648134,-1,-1,-1
visitor-c74ch,blue,red,trial,8,liar,blue,6,0.5,1,5,5,1,5,TRUE,-2,5,8,19,4855,23283,1621883649179,1621883672462,-1,-1,-1
visitor-c74ch,blue,red,trial,9,liar,blue,6,0.5,6,0,0,6,0,FALSE,6,0,8,19,5364,22125,1621883673511,1621883695636,-1,-1,-1
visitor-c74ch,blue,red,trial,10,liar,blue,6,0.5,0,0,0,6,0,FALSE,0,0,8,19,10135,10137,1621883696688,1621883706825,blue,"['FALSE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'FALSE', 'TRUE']","['red', 'red', 'blue', 'red', 'blue', 'red', 'blue']"
visitor-c74ch,blue,red,trial,11,liar,blue,6,0.5,3,3,3,3,3,FALSE,3,3,8,19,5366,22332,1621883707880,1621883730212,-1,-1,-1
visitor-c74ch,blue,red,trial,12,liar,blue,6,0.5,0,6,6,0,6,FALSE,0,6,8,19,3632,20818,1621883731260,1621883752078,-1,-1,-1
visitor-c74ch,blue,red,trial,13,detector,red,6,0.5,3,3,3,3,3,FALSE,3,3,12,39,12318,20781,1621883770434,1621883791215,-1,-1,-1
visitor-c74ch,blue,red,trial,14,detector,red,6,0.5,3,3,1,1,5,FALSE,1,5,12,39,13244,21851,1621883792259,1621883814110,-1,-1,-1
visitor-c74ch,blue,red,trial,15,detector,red,6,0.5,0,0,1,1,5,FALSE,0,0,12,39,8178,8181,1621883815165,1621883823346,blue,"['FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE']","['red', 'blue', 'blue', 'blue', 'red', 'red', 'red']"
visitor-c74ch,blue,red,trial,16,detector,red,6,0.5,2,4,2,2,4,FALSE,2,4,12,39,13001,21589,1621883824394,1621883845983,-1,-1,-1
visitor-c74ch,blue,red,trial,17,detector,red,6,0.5,5,1,5,5,1,TRUE,5,-2,12,39,14605,23121,1621883847037,1621883870158,-1,-1,-1
visitor-c74ch,blue,red,trial,18,detector,red,6,0.5,4,2,4,4,2,FALSE,4,2,12,39,4977,13566,1621883871210,1621883884776,-1,-1,-1
visitor-c74ch,blue,red,trial,19,detector,red,6,0.5,3,3,0,0,6,FALSE,0,6,27,51,4068,12698,1621883888306,1621883901004,-1,-1,-1
visitor-c74ch,blue,red,trial,20,detector,red,6,0.5,5,1,5,5,1,TRUE,5,-2,27,51,8400,16808,1621883902054,1621883918862,-1,-1,-1
visitor-c74ch,blue,red,trial,21,detector,red,6,0.5,4,2,6,6,0,TRUE,0,6,27,51,3514,11927,1621883919905,1621883931832,-1,-1,-1
visitor-c74ch,blue,red,trial,22,detector,red,6,0.5,3,3,3,3,3,FALSE,3,3,27,51,8604,17046,1621883932882,1621883949928,-1,-1,-1
visitor-c74ch,blue,red,trial,23,detector,red,6,0.5,1,5,4,4,2,FALSE,4,2,27,51,3048,11533,1621883950973,1621883962506,-1,-1,-1
visitor-c74ch,blue,red,trial,24,detector,red,6,0.5,0,0,4,4,2,FALSE,0,0,27,51,11039,11042,1621883963557,1621883974599,red,"['TRUE', 'FALSE', 'TRUE', 'FALSE', 'FALSE', 'TRUE', 'TRUE']","['red', 'blue', 'red', 'blue', 'blue', 'red', 'red']"
visitor-vtrcy,red,blue,trial,1,liar,red,6,0.5,6,0,6,6,0,TRUE,6,-3,0,0,16272,32243,1621631664444,1621631696687,-1,-1,-1
visitor-vtrcy,red,blue,trial,2,liar,red,6,0.5,4,2,1,1,5,FALSE,1,5,0,0,20212,36970,1621631697707,1621631734677,-1,-1,-1
visitor-vtrcy,red,blue,trial,3,liar,red,6,0.5,4,2,4,4,2,TRUE,4,-1,0,0,6456,23330,1621631735693,1621631759023,-1,-1,-1
visitor-vtrcy,red,blue,trial,4,liar,red,6,0.5,0,0,4,4,2,TRUE,0,0,0,0,9503,9505,1621631760030,1621631769535,red,"['TRUE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'TRUE', 'FALSE']","['red', 'blue', 'red', 'blue', 'red', 'red', 'blue']"
visitor-vtrcy,red,blue,trial,5,liar,red,6,0.5,2,4,5,5,1,FALSE,5,1,0,0,4140,20102,1621631770539,1621631790641,-1,-1,-1
visitor-vtrcy,red,blue,trial,6,liar,red,6,0.5,1,5,1,1,5,FALSE,1,5,0,0,7267,23034,1621631791663,1621631814697,-1,-1,-1
visitor-vtrcy,red,blue,trial,7,liar,red,6,0.5,2,4,4,4,2,TRUE,0,6,17,7,4521,22721,1621631818207,1621631840928,-1,-1,-1
visitor-vtrcy,red,blue,trial,8,liar,red,6,0.5,0,6,0,0,6,TRUE,0,3,17,7,3806,22181,1621631841951,1621631864132,-1,-1,-1
visitor-vtrcy,red,blue,trial,9,liar,red,6,0.5,4,2,6,6,0,FALSE,6,0,17,7,8181,26278,1621631865138,1621631891416,-1,-1,-1
visitor-vtrcy,red,blue,trial,10,liar,red,6,0.5,0,0,6,6,0,FALSE,0,0,17,7,5967,5967,1621631892423,1621631898390,blue,"['FALSE', 'FALSE', 'FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE']","['red', 'red', 'red', 'blue', 'blue', 'blue', 'red']"
visitor-vtrcy,red,blue,trial,11,liar,red,6,0.5,3,3,0,0,6,FALSE,0,6,17,7,5664,21594,1621631899399,1621631920994,-1,-1,-1
visitor-vtrcy,red,blue,trial,12,liar,red,6,0.5,5,1,5,5,1,FALSE,5,1,17,7,2889,18707,1621631922007,1621631940715,-1,-1,-1
visitor-vtrcy,red,blue,trial,13,detector,blue,6,0.5,5,1,2,4,2,FALSE,4,2,28,23,20602,29114,1621631963186,1621631992300,-1,-1,-1
visitor-vtrcy,red,blue,trial,14,detector,blue,6,0.5,0,0,2,4,2,FALSE,0,0,28,23,6176,6176,1621631993304,1621631999480,blue,"['FALSE', 'FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE']","['red', 'red', 'red', 'blue', 'blue', 'red', 'blue']"
visitor-vtrcy,red,blue,trial,15,detector,blue,6,0.5,3,3,5,1,5,FALSE,1,5,28,23,8908,17368,1621632000496,1621632017865,-1,-1,-1
visitor-vtrcy,red,blue,trial,16,detector,blue,6,0.5,5,1,5,1,5,TRUE,6,0,28,23,4660,13136,1621632018871,1621632032007,-1,-1,-1
visitor-vtrcy,red,blue,trial,17,detector,blue,6,0.5,4,2,2,4,2,TRUE,1,2,28,23,5823,14344,1621632033012,1621632047356,-1,-1,-1
visitor-vtrcy,red,blue,trial,18,detector,blue,6,0.5,4,2,4,2,4,FALSE,2,4,28,23,14107,22606,1621632048359,1621632070966,-1,-1,-1
visitor-vtrcy,red,blue,trial,19,detector,blue,6,0.5,0,0,4,2,4,FALSE,0,0,42,36,6353,6353,1621632074494,1621632080847,red,"['TRUE', 'FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE']","['red', 'blue', 'red', 'red', 'red', 'blue', 'blue']"
visitor-vtrcy,red,blue,trial,20,detector,blue,6,0.5,3,3,1,5,1,TRUE,6,0,42,36,27292,35720,1621632081852,1621632117572,-1,-1,-1
visitor-vtrcy,red,blue,trial,21,detector,blue,6,0.5,3,3,6,0,6,TRUE,6,0,42,36,22063,30481,1621632118584,1621632149065,-1,-1,-1
visitor-vtrcy,red,blue,trial,22,detector,blue,6,0.5,1,5,5,1,5,FALSE,1,5,42,36,2466,11168,1621632150080,1621632161249,-1,-1,-1
visitor-vtrcy,red,blue,trial,23,detector,blue,6,0.5,3,3,0,6,0,FALSE,6,0,42,36,13786,22401,1621632162262,1621632184663,-1,-1,-1
visitor-vtrcy,red,blue,trial,24,detector,blue,6,0.5,1,5,5,1,5,FALSE,1,5,42,36,5218,13713,1621632185680,1621632199396,-1,-1,-1
visitor-f0efa,blue,red,trial,1,detector,red,6,0.5,3,3,5,5,1,FALSE,5,1,0,0,13662,22206,1634329427161,1634329449367,-1,-1,-1
visitor-f0efa,blue,red,trial,2,detector,red,6,0.5,0,0,5,5,1,FALSE,0,0,0,0,19483,19492,1634329453822,1634329473314,red,"['TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE']","['blue', 'blue', 'red', 'red', 'blue', 'red', 'red']"
visitor-f0efa,blue,red,trial,3,detector,red,6,0.5,3,3,4,4,2,TRUE,0,6,0,0,2459,11207,1634329478118,1634329489326,-1,-1,-1
visitor-f0efa,blue,red,trial,4,detector,red,6,0.5,3,3,0,0,6,TRUE,0,6,0,0,16999,25809,1634329494644,1634329520453,-1,-1,-1
visitor-f0efa,blue,red,trial,5,detector,red,6,0.5,3,3,3,3,3,FALSE,3,3,0,0,4738,13762,1634329525525,1634329539287,-1,-1,-1
visitor-f0efa,blue,red,trial,6,detector,red,6,0.5,3,3,5,5,1,TRUE,0,6,0,0,3639,12529,1634329544474,1634329557003,-1,-1,-1
visitor-f0efa,blue,red,trial,7,detector,red,6,0.5,0,0,5,5,1,TRUE,0,0,8,22,17934,17942,1634329562334,1634329580276,blue,"['TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE']","['blue', 'red', 'red', 'red', 'blue', 'blue', 'red']"
visitor-f0efa,blue,red,trial,8,detector,red,6,0.5,3,3,5,5,1,TRUE,0,6,8,22,19085,27669,1634329585749,1634329613418,-1,-1,-1
visitor-f0efa,blue,red,trial,9,detector,red,6,0.5,2,4,2,2,4,FALSE,2,4,8,22,2526,11557,1634329619707,1634329631264,-1,-1,-1
visitor-f0efa,blue,red,trial,10,detector,red,6,0.5,4,2,4,4,2,FALSE,4,2,8,22,2305,11239,1634329636396,1634329647635,-1,-1,-1
visitor-f0efa,blue,red,trial,11,detector,red,6,0.5,2,4,6,6,0,TRUE,0,6,8,22,13162,22112,1634329652387,1634329674499,-1,-1,-1
visitor-f0efa,blue,red,trial,12,detector,red,6,0.5,3,3,1,1,5,FALSE,1,5,8,22,12149,20788,1634329679911,1634329700699,-1,-1,-1
visitor-f0efa,blue,red,trial,13,liar,blue,6,0.5,0,0,1,1,5,FALSE,0,0,15,45,8141,8269,1634329727494,1634329735763,red,"['TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE']","['blue', 'red', 'red', 'blue', 'red', 'red', 'blue']"
visitor-f0efa,blue,red,trial,14,liar,blue,6,0.5,4,2,2,4,2,FALSE,4,2,15,45,12328,29399,1634329741550,1634329770949,-1,-1,-1
visitor-f0efa,blue,red,trial,15,liar,blue,6,0.5,6,0,0,6,0,FALSE,6,0,15,45,3515,21077,1634329777650,1634329798728,-1,-1,-1
visitor-f0efa,blue,red,trial,16,liar,blue,6,0.5,4,2,5,1,5,TRUE,6,0,15,45,13113,30280,1634329805681,1634329835961,-1,-1,-1
visitor-f0efa,blue,red,trial,17,liar,blue,6,0.5,6,0,3,3,3,FALSE,3,3,15,45,13157,31503,1634329843099,1634329874602,-1,-1,-1
visitor-f0efa,blue,red,trial,18,liar,blue,6,0.5,4,2,3,3,3,TRUE,6,0,15,45,15772,32809,1634329880894,1634329913703,-1,-1,-1
visitor-f0efa,blue,red,trial,19,liar,blue,6,0.5,1,5,5,1,5,TRUE,-2,5,40,50,3289,20684,1634329922197,1634329942881,-1,-1,-1
visitor-f0efa,blue,red,trial,20,liar,blue,6,0.5,5,1,4,2,4,FALSE,2,4,40,50,14759,33553,1634329948369,1634329981922,-1,-1,-1
visitor-f0efa,blue,red,trial,21,liar,blue,6,0.5,3,3,3,3,3,FALSE,3,3,40,50,7011,25532,1634329987836,1634330013368,-1,-1,-1
visitor-f0efa,blue,red,trial,22,liar,blue,6,0.5,0,0,3,3,3,FALSE,0,0,40,50,6700,6868,1634330019143,1634330026011,blue,"['FALSE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE', 'TRUE']","['red', 'red', 'blue', 'blue', 'blue', 'red', 'red']"
visitor-f0efa,blue,red,trial,23,liar,blue,6,0.5,0,6,6,0,6,TRUE,-3,6,40,50,1969,18340,1634330032516,1634330050856,-1,-1,-1
visitor-f0efa,blue,red,trial,24,liar,blue,6,0.5,3,3,2,4,2,FALSE,4,2,40,50,2516,19573,1634330056678,1634330076251,-1,-1,-1
visitor-ylghs,red,blue,trial,1,detector,blue,6,0.5,0,0,6,0,6,TRUE,0,0,0,0,53489,53491,1630621041446,1630621094937,blue,"['TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'FALSE', 'FALSE']","['blue', 'blue', 'blue', 'red', 'red', 'red', 'red']"
visitor-ylghs,red,blue,trial,2,detector,blue,6,0.5,3,3,3,3,3,FALSE,3,3,0,0,39689,48295,1630621095940,1630621144235,-1,-1,-1
visitor-ylghs,red,blue,trial,3,detector,blue,6,0.5,4,2,1,5,1,TRUE,6,0,0,0,22338,30750,1630621145238,1630621175989,-1,-1,-1
visitor-ylghs,red,blue,trial,4,detector,blue,6,0.5,4,2,6,0,6,TRUE,6,0,0,0,31019,39531,1630621176992,1630621216523,-1,-1,-1
visitor-ylghs,red,blue,trial,5,detector,blue,6,0.5,5,1,4,2,4,FALSE,2,4,0,0,20841,29548,1630621217526,1630621247075,-1,-1,-1
visitor-ylghs,red,blue,trial,6,detector,blue,6,0.5,3,3,3,3,3,TRUE,0,3,0,0,22537,30983,1630621248078,1630621279061,-1,-1,-1
visitor-ylghs,red,blue,trial,7,detector,blue,6,0.5,2,4,5,1,5,FALSE,1,5,17,10,17190,25557,1630621282569,1630621308127,-1,-1,-1
visitor-ylghs,red,blue,trial,8,detector,blue,6,0.5,3,3,3,3,3,TRUE,0,3,17,10,9924,18310,1630621309130,1630621327440,-1,-1,-1
visitor-ylghs,red,blue,trial,9,detector,blue,6,0.5,2,4,4,2,4,FALSE,2,4,17,10,6846,15340,1630621328442,1630621343782,-1,-1,-1
visitor-ylghs,red,blue,trial,10,detector,blue,6,0.5,0,0,4,2,4,FALSE,0,0,17,10,42511,42513,1630621344788,1630621387301,red,"['FALSE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'TRUE', 'TRUE']","['blue', 'blue', 'red', 'blue', 'red', 'red', 'red']"
visitor-ylghs,red,blue,trial,11,detector,blue,6,0.5,3,3,0,6,0,TRUE,6,0,17,10,36897,45627,1630621388302,1630621433930,-1,-1,-1
visitor-ylghs,red,blue,trial,12,detector,blue,6,0.5,5,1,2,4,2,FALSE,4,2,17,10,22726,31394,1630621434933,1630621466328,-1,-1,-1
visitor-ylghs,red,blue,trial,13,liar,red,6,0.5,6,0,6,6,0,TRUE,6,-3,30,24,92890,131502,1630621486976,1630621618478,-1,-1,-1
visitor-ylghs,red,blue,trial,14,liar,red,6,0.5,5,1,5,5,1,TRUE,5,-2,30,24,25488,48730,1630621619483,1630621668213,-1,-1,-1
visitor-ylghs,red,blue,trial,15,liar,red,6,0.5,4,2,4,4,2,FALSE,4,2,30,24,20409,41653,1630621669219,1630621710872,-1,-1,-1
visitor-ylghs,red,blue,trial,16,liar,red,6,0.5,5,1,5,5,1,TRUE,5,-2,30,24,43057,82866,1630621711879,1630621794745,-1,-1,-1
visitor-ylghs,red,blue,trial,17,liar,red,6,0.5,0,6,0,0,6,TRUE,0,3,30,24,16079,36294,1630621795749,1630621832043,-1,-1,-1
visitor-ylghs,red,blue,trial,18,liar,red,6,0.5,0,0,0,0,6,TRUE,0,0,30,24,26404,26406,1630621833048,1630621859454,red,"['FALSE', 'TRUE', 'TRUE', 'TRUE', 'FALSE', 'FALSE', 'TRUE']","['blue', 'red', 'red', 'red', 'blue', 'blue', 'red']"
visitor-ylghs,red,blue,trial,19,liar,red,6,0.5,1,5,1,1,5,FALSE,1,5,50,22,35804,57088,1630621862963,1630621920052,-1,-1,-1
visitor-ylghs,red,blue,trial,20,liar,red,6,0.5,4,2,4,4,2,TRUE,4,-1,50,22,11460,44761,1630621921059,1630621965820,-1,-1,-1
visitor-ylghs,red,blue,trial,21,liar,red,6,0.5,0,0,4,4,2,TRUE,0,0,50,22,17099,17101,1630621966826,1630621983927,blue,"['FALSE', 'TRUE', 'FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE']","['red', 'blue', 'red', 'red', 'blue', 'blue', 'red']"
visitor-ylghs,red,blue,trial,22,liar,red,6,0.5,4,2,4,4,2,TRUE,4,-1,50,22,25040,43850,1630621984931,1630622028781,-1,-1,-1
visitor-ylghs,red,blue,trial,23,liar,red,6,0.5,3,3,3,3,3,FALSE,3,3,50,22,4837,24982,1630622029786,1630622054769,-1,-1,-1
visitor-ylghs,red,blue,trial,24,liar,red,6,0.5,3,3,3,3,3,FALSE,3,3,50,22,20583,69011,1630622055773,1630622124784,-1,-1,-1
visitor-oc9im,blue,red,trial,1,detector,red,6,0.5,2,4,2,2,4,FALSE,2,4,0,0,10179,18937,1634764503665,1634764522602,-1,-1,-1
visitor-oc9im,blue,red,trial,2,detector,red,6,0.5,2,4,6,6,0,TRUE,0,6,0,0,9746,18138,1634764525789,1634764543927,-1,-1,-1
visitor-oc9im,blue,red,trial,3,detector,red,6,0.5,3,3,0,0,6,FALSE,0,6,0,0,12701,21072,1634764546931,1634764568003,-1,-1,-1
visitor-oc9im,blue,red,trial,4,detector,red,6,0.5,2,4,3,3,3,FALSE,3,3,0,0,14548,23194,1634764570316,1634764593510,-1,-1,-1
visitor-oc9im,blue,red,trial,5,detector,red,6,0.5,3,3,3,3,3,FALSE,3,3,0,0,15477,23900,1634764596743,1634764620643,-1,-1,-1
visitor-oc9im,blue,red,trial,6,detector,red,6,0.5,0,0,3,3,3,FALSE,0,0,0,0,9630,9631,1634764623105,1634764632736,blue,"['FALSE', 'FALSE', 'TRUE', 'FALSE', 'TRUE', 'TRUE', 'FALSE']","['red', 'red', 'blue', 'red', 'blue', 'blue', 'red']"
visitor-oc9im,blue,red,trial,7,detector,red,6,0.5,3,3,3,3,3,FALSE,3,3,8,22,12461,21141,1634764641388,1634764662529,-1,-1,-1
visitor-oc9im,blue,red,trial,8,detector,red,6,0.5,4,2,1,1,5,TRUE,0,6,8,22,12642,21169,1634764664732,1634764685901,-1,-1,-1
visitor-oc9im,blue,red,trial,9,detector,red,6,0.5,5,1,5,5,1,FALSE,5,1,8,22,18763,27306,1634764689191,1634764716497,-1,-1,-1
visitor-oc9im,blue,red,trial,10,detector,red,6,0.5,0,0,5,5,1,FALSE,0,0,8,22,14300,14301,1634764719010,1634764733311,red,"['FALSE', 'FALSE', 'TRUE', 'TRUE', 'FALSE', 'TRUE', 'TRUE']","['blue', 'blue', 'red', 'red', 'blue', 'red', 'red']"
