"","StudyVersion","SubjID","DataID","QuestionNum","PlayerColor","Question","Response","CodeQ","CodeQNum","DW","JT","Notes","DW.maybe"
"1","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Which one of these do you think is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"2","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Why do you think this one is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","My points? Y vs N","1c","n","n",NA,FALSE
"3","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Why do you think this one is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"4","pilot Zoom (2021)",15,"visitor-ylghs",1,"red","Why do you think this one is a trick?","The blue one. I don't know. Just kinda. I don't even know. I don't really know how to explain it. It's kinda just like that that one has all the same colors.","Plausibility? Y vs N","1b","n","y",NA,TRUE
"5","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","0 to 6 marbles for themselves","2a","6","6",NA,TRUE
"6","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","My points? Y vs N","2c","n","n",NA,FALSE
"7","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"8","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","Plausibility? Y vs N","2b","n","n",NA,FALSE
"9","pilot Zoom (2021)",15,"visitor-ylghs",2,"red","Why would you say that?","The fullest one. The fifth one. I don't know right now. I mean the full one on the side","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","n","y",NA,FALSE
"10","pilot Zoom (2021)",15,"visitor-ylghs",3,"red","If you wanted to trick the other player, what would you do?","The one with 2 reds and 4 blues.","0 to 6 marbles for themselves","3","2","2",NA,FALSE
"11","pilot Zoom (2021)",15,"visitor-ylghs",4,"red","If you wanted to be nice to the other player, what would you do?","Do a middle one.","0 to 6 marbles for themselves","4","3","3",NA,FALSE
"12","pilot Zoom (2021)",16,"n/a",1,"blue","Which one of these do you think is a trick ?","All the red ones. They are just trying to get all the points for the red ones.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"13","pilot Zoom (2021)",16,"n/a",1,"blue","Why do you think that is a trick?","All the red ones. They are just trying to get all the points for the red ones.","My points? Y vs N","1c","n","n",NA,TRUE
"14","pilot Zoom (2021)",16,"n/a",1,"blue","Why do you think that is a trick?","All the red ones. They are just trying to get all the points for the red ones.","Opponent’s points? Y vs N","1d","y","y",NA,FALSE
"15","pilot Zoom (2021)",16,"n/a",1,"blue","Why do you think that is a trick?","All the red ones. They are just trying to get all the points for the red ones.","Plausibility? Y vs N","1b","n","y",NA,FALSE
"16","pilot Zoom (2021)",16,"n/a",2,"blue","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones","0 to 6 marbles for themselves","2a","2","2",NA,FALSE
"17","pilot Zoom (2021)",16,"n/a",2,"blue","Why would you say that?","I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones","My points? Y vs N","2c","n","n",NA,FALSE
"18","pilot Zoom (2021)",16,"n/a",2,"blue","Why would you say that?","I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"19","pilot Zoom (2021)",16,"n/a",2,"blue","Why would you say that?","I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones","Plausibility? Y vs N","2b","n","n",NA,TRUE
"20","pilot Zoom (2021)",16,"n/a",2,"blue","Why would you say that?","I would tell the other player 2 blue and 4 red. I don't want to tell them the red ones so I just make it a little bit more blue ones","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","y","y",NA,TRUE
"21","pilot Zoom (2021)",16,"n/a",3,"blue","If you wanted to trick the other player, what would you do?","4 blue ones and 2 red ones","0 to 6 marbles for themselves","3","4","4",NA,FALSE
"22","pilot Zoom (2021)",16,"n/a",4,"blue","If you wanted to be nice to the other player, what would you do?","Tell the truth? I don't understand what you mean. Tell the truth I guess.","0 to 6 marbles for themselves","4","3","3",NA,FALSE
"23","pilot Zoom (2021)",17,"n/a",1,"blue","Which one of these do you think is a trick ?","All red. It's more likely to get at least 1 blue/ one of another color","All one color vs Half","1a","all one color","all one color",NA,FALSE
"24","pilot Zoom (2021)",17,"n/a",1,"blue","Why do you think that is a trick?","All red. It's more likely to get at least 1 blue/ one of another color","My points? Y vs N","1c","n","n",NA,FALSE
"25","pilot Zoom (2021)",17,"n/a",1,"blue","Why do you think that is a trick?","All red. It's more likely to get at least 1 blue/ one of another color","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"26","pilot Zoom (2021)",17,"n/a",1,"blue","Why do you think that is a trick?","All red. It's more likely to get at least 1 blue/ one of another color","Plausibility? Y vs N","1b","y","y",NA,FALSE
"27","pilot Zoom (2021)",17,"n/a",2,"blue","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","I would say the truth because they'll think it's more likely to have another blue","0 to 6 marbles for themselves","2a","3","0",NA,FALSE
"28","pilot Zoom (2021)",17,"n/a",2,"blue","Why would you say that?","I would say the truth because they'll think it's more likely to have another blue","My points? Y vs N","2c","n","n",NA,FALSE
"29","pilot Zoom (2021)",17,"n/a",2,"blue","Why would you say that?","I would say the truth because they'll think it's more likely to have another blue","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"30","pilot Zoom (2021)",17,"n/a",2,"blue","Why would you say that?","I would say the truth because they'll think it's more likely to have another blue","Plausibility? Y vs N","2b","y","y",NA,FALSE
"31","pilot Zoom (2021)",17,"n/a",2,"blue","Why would you say that?","I would say the truth because they'll think it's more likely to have another blue","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","n","y",NA,FALSE
"32","pilot Zoom (2021)",17,"n/a",3,"blue","If you wanted to trick the other player, what would you do?","all blues","0 to 6 marbles for themselves","3","6","6",NA,FALSE
"33","pilot Zoom (2021)",17,"n/a",4,"blue","If you wanted to be nice to the other player, what would you do?","do the truth","0 to 6 marbles for themselves","4","3","3",NA,FALSE
"34","pilot Zoom (2021)",19,"visitor-6j8pj",1,"blue","Which one of these do you think is a trick ?","All red. Because it is not even.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"35","pilot Zoom (2021)",19,"visitor-6j8pj",1,"blue","Why do you think that is a trick?","All red. Because it is not even.","My points? Y vs N","1c","n","n",NA,FALSE
"36","pilot Zoom (2021)",19,"visitor-6j8pj",1,"blue","Why do you think that is a trick?","All red. Because it is not even.","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"37","pilot Zoom (2021)",19,"visitor-6j8pj",1,"blue","Why do you think that is a trick?","All red. Because it is not even.","Plausibility? Y vs N","1b","n","n",NA,FALSE
"38","pilot Zoom (2021)",19,"visitor-6j8pj",2,"blue","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","It was a trick. The truth. 1 red marble.","0 to 6 marbles for themselves","2a","5","5",NA,FALSE
"39","pilot Zoom (2021)",19,"visitor-6j8pj",2,"blue","Why would you say that?","It was a trick. The truth. 1 red marble.","My points? Y vs N","2c",NA,"n",NA,NA
"40","pilot Zoom (2021)",19,"visitor-6j8pj",2,"blue","Why would you say that?","It was a trick. The truth. 1 red marble.","Opponent’s points? Y vs N","2d",NA,"n",NA,NA
"41","pilot Zoom (2021)",19,"visitor-6j8pj",2,"blue","Why would you say that?","It was a trick. The truth. 1 red marble.","Plausibility? Y vs N","2b",NA,"n",NA,NA
"42","pilot Zoom (2021)",19,"visitor-6j8pj",2,"blue","Why would you say that?","It was a trick. The truth. 1 red marble.","Tricking for the sake of it (not paying attention to points)? Y vs N","2e",NA,"y",NA,NA
"43","pilot Zoom (2021)",19,"visitor-6j8pj",3,"blue","If you wanted to trick the other player, what would you do?","Pick all red.","0 to 6 marbles for themselves","3","0","0",NA,FALSE
"44","pilot Zoom (2021)",19,"visitor-6j8pj",4,"blue","If you wanted to be nice to the other player, what would you do?","Choose all red.","0 to 6 marbles for themselves","4","0","0",NA,FALSE
"45","pilot Zoom (2021)",20,"visitor-jkrx7",1,"red","Which one of these do you think is a trick ?","the full blue one. I don't know. Because sometimes you don't always get the full set of one color.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"46","pilot Zoom (2021)",20,"visitor-jkrx7",1,"red","Why do you think that is a trick?","the full blue one. I don't know. Because sometimes you don't always get the full set of one color.","My points? Y vs N","1c","n","n",NA,FALSE
"47","pilot Zoom (2021)",20,"visitor-jkrx7",1,"red","Why do you think that is a trick?","the full blue one. I don't know. Because sometimes you don't always get the full set of one color.","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"48","pilot Zoom (2021)",20,"visitor-jkrx7",1,"red","Why do you think that is a trick?","the full blue one. I don't know. Because sometimes you don't always get the full set of one color.","Plausibility? Y vs N","1b","y","y",NA,FALSE
"49","pilot Zoom (2021)",20,"visitor-jkrx7",2,"red","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables","0 to 6 marbles for themselves","2a","5","0","I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles)",FALSE
"50","pilot Zoom (2021)",20,"visitor-jkrx7",2,"red","Why would you say that?","I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables","My points? Y vs N","2c","n","n","I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles)",FALSE
"51","pilot Zoom (2021)",20,"visitor-jkrx7",2,"red","Why would you say that?","I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables","Opponent’s points? Y vs N","2d","n","n","I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles)",FALSE
"52","pilot Zoom (2021)",20,"visitor-jkrx7",2,"red","Why would you say that?","I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables","Plausibility? Y vs N","2b","y","n","I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles)",FALSE
"53","pilot Zoom (2021)",20,"visitor-jkrx7",2,"red","Why would you say that?","I said it was the truth. (I asked again which set of marbles she would choose) she responded ""the full blue one."" because it has no red marables","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","n","y","I asked the question after she said truth. I asked which set of marbles would you choose? Then she said the one with one. (I clarified that she mean't the 1 red marble and 5 blue marbles)",FALSE
"54","pilot Zoom (2021)",20,"visitor-jkrx8",3,"red","If you wanted to trick the other player, what would you do?","Do one that has more than it or less than it (I asked what she meant by ""it""). She said more red marbles.","0 to 6 marbles for themselves","3",NA,"anything that isn't 3",NA,NA
"55","pilot Zoom (2021)",20,"visitor-jkrx9",4,"red","If you wanted to be nice to the other player, what would you do?","I would do the true one","0 to 6 marbles for themselves","4","3","3",NA,FALSE
"56","pilot Zoom (2021)",21,"visitor-th39o",1,"red","Which one of these do you think is a trick ?","the blue. Cuz um there can be red, but he tricks the red into thinking its all blue.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"57","pilot Zoom (2021)",21,"visitor-th39o",1,"red","Why do you think that is a trick?","the blue. Cuz um there can be red, but he tricks the red into thinking its all blue.","My points? Y vs N","1c","n","n",NA,FALSE
"58","pilot Zoom (2021)",21,"visitor-th39o",1,"red","Why do you think that is a trick?","the blue. Cuz um there can be red, but he tricks the red into thinking its all blue.","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"59","pilot Zoom (2021)",21,"visitor-th39o",1,"red","Why do you think that is a trick?","the blue. Cuz um there can be red, but he tricks the red into thinking its all blue.","Plausibility? Y vs N","1b","y","y",NA,FALSE
"60","pilot Zoom (2021)",21,"visitor-th39o",2,"red","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing","0 to 6 marbles for themselves","2a","6","6",NA,FALSE
"61","pilot Zoom (2021)",21,"visitor-th39o",2,"red","Why would you say that?","I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing","My points? Y vs N","2c","n","n",NA,FALSE
"62","pilot Zoom (2021)",21,"visitor-th39o",2,"red","Why would you say that?","I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"63","pilot Zoom (2021)",21,"visitor-th39o",2,"red","Why would you say that?","I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing","Plausibility? Y vs N","2b","y","n",NA,FALSE
"64","pilot Zoom (2021)",21,"visitor-th39o",2,"red","Why would you say that?","I would choose the all red marables. Cuz if he tricks us that there are no red in the blue thing. Maybe we should check to see if there is no red in the blue thing","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","n","y",NA,FALSE
"65","pilot Zoom (2021)",21,"visitor-th39o",3,"red","If you wanted to trick the other player, what would you do?","um… I think I would go down from 3 blue to 4 blue to trick him","0 to 6 marbles for themselves","3","3","2",NA,FALSE
"66","pilot Zoom (2021)",21,"visitor-th39o",4,"red","If you wanted to be nice to the other player, what would you do?","um I would play the same exact one so you won't trick him.","0 to 6 marbles for themselves","4","3","3",NA,FALSE
"67","pilot Zoom (2021)",22,"visitor-f0efa",1,"blue","Which one of these do you think is a trick ?","I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time.","All one color vs Half","1a","all one color","all one color",NA,FALSE
"68","pilot Zoom (2021)",22,"visitor-f0efa",1,"blue","Why do you think that is a trick?","I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time.","My points? Y vs N","1c","n","n",NA,FALSE
"69","pilot Zoom (2021)",22,"visitor-f0efa",1,"blue","Why do you think that is a trick?","I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time.","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"70","pilot Zoom (2021)",22,"visitor-f0efa",1,"blue","Why do you think that is a trick?","I think the all red one. Because, once I did a blue I got a red. when I did a blue trick and i thought the computer was doing the same as me. Its hard to get all of the same color every time.","Plausibility? Y vs N","1b","y","y",NA,FALSE
"71","pilot Zoom (2021)",22,"visitor-f0efa",2,"blue","When you were playing the game, and you saw 0 red marbles what would you tell the other player?","probably say half blue and half red. To trick them, its not the same color","0 to 6 marbles for themselves","2a","3","3",NA,FALSE
"72","pilot Zoom (2021)",22,"visitor-f0efa",2,"blue","Why would you say that?","probably say half blue and half red. To trick them, its not the same color","My points? Y vs N","2c","n","n",NA,FALSE
"73","pilot Zoom (2021)",22,"visitor-f0efa",2,"blue","Why would you say that?","probably say half blue and half red. To trick them, its not the same color","Opponent’s points? Y vs N","2d","n","n",NA,FALSE
"74","pilot Zoom (2021)",22,"visitor-f0efa",2,"blue","Why would you say that?","probably say half blue and half red. To trick them, its not the same color","Plausibility? Y vs N","2b","y","y",NA,FALSE
"75","pilot Zoom (2021)",22,"visitor-f0efa",2,"blue","Why would you say that?","probably say half blue and half red. To trick them, its not the same color","Tricking for the sake of it (not paying attention to points)? Y vs N","2e","y","y",NA,FALSE
"76","pilot Zoom (2021)",22,"visitor-f0efa",3,"blue","If you wanted to trick the other player, what would you do?","I would probably do… so I would do half blue half red. Hm... Four red, two blue","0 to 6 marbles for themselves","3","2","2",NA,FALSE
"77","pilot Zoom (2021)",22,"visitor-f0efa",4,"blue","If you wanted to be nice to the other player, what would you do?","I would probably do like all red or all blue, because they probably know that I wasn't actulaly telling the truth.","0 to 6 marbles for themselves","4","6","0 or 6",NA,FALSE
"78","pilot Zoom (2021)",23,"visitor-fcqe0",1,"blue","Which one of these do you think is a trick ?","All red, because that's what happened in the game","All one color vs Half","1a","all one color","all one color","I",FALSE
"79","pilot Zoom (2021)",23,"visitor-fcqe0",1,"blue","Why do you think that is a trick?","All red, because that's what happened in the game","My points? Y vs N","1c","n","n",NA,FALSE
"80","pilot Zoom (2021)",23,"visitor-fcqe0",1,"blue","Why do you think that is a trick?","All red, because that's what happened in the game","Opponent’s points? Y vs N","1d","n","n",NA,FALSE
"81","pilot Zoom (2021)",23,"visitor-fcqe0",1,"blue","Why do you think that is a trick?","All red, because that's what happened in the game","Plausibility? Y vs N","1b","n","n","I",FALSE
